idProfesor	idAsignatura
PR001	AS001
PR029	AS001
PR008	AS001
PR002	AS002
PR033	AS002
PR046	AS002
PR003	AS003
PR002	AS003
PR026	AS003
PR004	AS004
PR014	AS004
PR003	AS004
PR005	AS005
PR035	AS005
PR046	AS005
PR004	AS006
PR014	AS006
PR002	AS006
PR003	AS007
PR011	AS007
PR021	AS007
PR008	AS008
PR048	AS008
PR013	AS008
PR004	AS009
PR020	AS009
PR001	AS009
PR002	AS010
PR024	AS010
PR025	AS010
PR004	AS011
PR010	AS011
PR029	AS011
PR002	AS012
PR009	AS012
PR026	AS012
PR006	AS013
PR020	AS013
PR014	AS013
PR002	AS014
PR024	AS014
PR021	AS014
PR002	AS015
PR004	AS015
PR001	AS015
PR007	AS016
PR016	AS016
PR041	AS016
PR008	AS017
PR026	AS017
PR044	AS017
PR008	AS018
PR022	AS018
PR033	AS018
PR009	AS019
PR034	AS019
PR002	AS019
PR004	AS020
PR027	AS020
PR022	AS020
PR001	AS021
PR048	AS021
PR026	AS021
PR006	AS022
PR011	AS022
PR006	AS022
PR007	AS023
PR008	AS023
PR044	AS023
PR009	AS024
PR041	AS024
PR041	AS024
PR009	AS025
PR018	AS025
PR017	AS025
PR010	AS026
PR015	AS026
PR012	AS026
PR008	AS027
PR023	AS027
PR005	AS027
PR010	AS028
PR005	AS028
PR002	AS028
PR011	AS029
PR014	AS029
PR024	AS029
PR010	AS030
PR010	AS030
PR030	AS030
PR005	AS031
PR037	AS031
PR024	AS031
PR006	AS032
PR003	AS032
PR039	AS032
PR015	AS033
PR045	AS033
PR015	AS033
PR024	AS034
PR011	AS034
PR001	AS034
PR036	AS035
PR008	AS035
PR042	AS035
PR020	AS036
PR041	AS036
PR022	AS036
PR020	AS037
PR020	AS037
PR016	AS037
PR020	AS038
PR040	AS038
PR019	AS038
PR020	AS039
PR020	AS039
PR038	AS039
PR002	AS040
PR003	AS040
PR010	AS040
PR021	AS041
PR023	AS041
PR012	AS041
PR005	AS042
PR034	AS042
PR017	AS042
PR002	AS043
PR014	AS043
PR024	AS043
PR002	AS044
PR007	AS044
PR011	AS044
PR002	AS045
PR047	AS045
PR006	AS045
PR016	AS046
PR014	AS046
PR014	AS046
PR026	AS047
PR036	AS047
PR029	AS047
PR005	AS048
PR021	AS048
PR037	AS048
PR004	AS049
PR040	AS049
PR040	AS049
PR002	AS050
PR025	AS050
PR043	AS050
PR027	AS051
PR024	AS051
PR042	AS051
PR027	AS052
PR029	AS052
PR039	AS052
PR027	AS053
PR044	AS053
PR047	AS053
PR027	AS054
PR021	AS054
PR028	AS054
PR027	AS055
PR029	AS055
PR044	AS055
PR011	AS056
PR038	AS056
PR043	AS056
PR015	AS057
PR020	AS057
PR024	AS057
PR002	AS058
PR006	AS058
PR039	AS058
PR030	AS059
PR022	AS059
PR046	AS059
PR031	AS060
PR037	AS060
PR005	AS060
PR031	AS061
PR028	AS061
PR042	AS061
PR031	AS062
PR025	AS062
PR047	AS062
PR031	AS063
PR042	AS063
PR039	AS063
PR031	AS064
PR002	AS064
PR002	AS064
PR031	AS065
PR006	AS065
PR024	AS065
PR031	AS066
PR018	AS066
PR038	AS066
PR031	AS067
PR048	AS067
PR019	AS067
PR031	AS068
PR027	AS068
PR029	AS068
PR031	AS069
PR038	AS069
PR035	AS069
PR031	AS070
PR048	AS070
PR020	AS070
PR029	AS071
PR041	AS071
PR046	AS071
PR005	AS072
PR038	AS072
PR035	AS072
PR004	AS073
PR023	AS073
PR045	AS073
PR025	AS074
PR019	AS074
PR010	AS074
PR004	AS075
PR028	AS075
PR047	AS075
PR005	AS076
PR039	AS076
PR010	AS076
PR006	AS077
PR004	AS077
PR046	AS077
PR006	AS078
PR036	AS078
PR020	AS078
PR002	AS079
PR031	AS079
PR019	AS079
PR033	AS080
PR046	AS080
PR019	AS080
PR015	AS081
PR045	AS081
PR041	AS081
PR034	AS082
PR038	AS082
PR023	AS082
PR034	AS083
PR023	AS083
PR047	AS083
PR002	AS084
PR034	AS084
PR011	AS084
PR008	AS085
PR008	AS085
PR021	AS085
PR036	AS086
PR002	AS086
PR038	AS086
PR036	AS087
PR001	AS087
PR002	AS087
PR036	AS088
PR013	AS088
PR028	AS088
PR036	AS089
PR004	AS089
PR007	AS089
PR022	AS090
PR005	AS090
PR035	AS090
PR022	AS091
PR038	AS091
PR009	AS091
PR022	AS092
PR021	AS092
PR022	AS092
PR010	AS093
PR040	AS093
PR022	AS093
PR010	AS094
PR039	AS094
PR028	AS094
PR002	AS095
PR029	AS095
PR009	AS095
PR002	AS096
PR041	AS096
PR045	AS096
PR037	AS097
PR036	AS097
PR013	AS097
PR005	AS098
PR040	AS098
PR014	AS098
PR005	AS099
PR044	AS099
PR019	AS099
PR005	AS100
PR021	AS100
PR026	AS100
